sentiment,tweet_id,tweet_date,flag,user,text
0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
4,2055260616,Sat Jun 06 08:59:56 PDT 2009,NO_QUERY,judomary,@johnnystimson Still? Wow. Your cheese must have been really powdery! 
4,1560005906,Sun Apr 19 12:36:21 PDT 2009,NO_QUERY,KrystleMiller,@ciara_danella you're supposed to write it on their flickr. you DF.  &lt;3
4,2181078249,Mon Jun 15 11:20:14 PDT 2009,NO_QUERY,tweeteradder7,@vanphotolens Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,2256287147,Sat Jun 20 12:32:46 PDT 2009,NO_QUERY,ClauBand,@ThiOliveiras To no ar Thi!!! 
4,1993752385,Mon Jun 01 10:52:34 PDT 2009,NO_QUERY,beccuhboo,its cold out today . i love it 
0,2067978792,Sun Jun 07 13:17:14 PDT 2009,NO_QUERY,neosurgehosting,"@mpnevess They have hot female models all over the US television commercial circuit though, doesn't that count for something? "
4,1962719461,Fri May 29 11:31:49 PDT 2009,NO_QUERY,yahooprofiles,"@utroukx Come July 13th you won't have to worry about that, as it will be gone. "
0,2254029407,Sat Jun 20 09:07:05 PDT 2009,NO_QUERY,TheCraftyWino,200 armed heavy police to quite freedom...   #iranelection
4,2193527998,Tue Jun 16 08:34:47 PDT 2009,NO_QUERY,MsMaria22,just got off work! i'm exhausted.... worked real hard today. JK LMAO. i only worked 3 hrs. 
0,1962222148,Fri May 29 10:42:46 PDT 2009,NO_QUERY,superch,Snap. Breaking out again 
4,2048241478,Fri Jun 05 14:53:13 PDT 2009,NO_QUERY,JeffreyCor,@Shoshannah7 I hope you have a great time! 
0,2241578873,Fri Jun 19 11:07:17 PDT 2009,NO_QUERY,ThaWurkr,Burnt @PrettyMsP Cheese Grits in the email  lol
4,1990248395,Mon Jun 01 04:19:49 PDT 2009,NO_QUERY,BloodBank_,"i think im going to be a zombie at the end of the week, lack of sleep thanks to exams. SO glad i never have to do maths again though "
4,1558534414,Sun Apr 19 08:40:10 PDT 2009,NO_QUERY,butterflys_bite,@Jonasbrothers hope you guys are having suuuper fun  i love elvis  worlds bestt dog.
0,2232375524,Thu Jun 18 19:49:37 PDT 2009,NO_QUERY,stephmccullough,i want the pens to bring the cup into panera  they were at hofbrauhaus the other day! soo closee!
4,2004374671,Tue Jun 02 08:06:11 PDT 2009,NO_QUERY,dmbdork,@mzpete WHOO! nice! 
0,2264308434,Sun Jun 21 03:27:11 PDT 2009,NO_QUERY,aehthea,i guess we were never like Penelope and Odysseus   http://plurk.com/p/12nj0d
0,2201393397,Tue Jun 16 20:12:45 PDT 2009,NO_QUERY,meaganmarie25,stranger danger in the fountain 
